Date	From	To	Flight_Number	Airline	Distance	Duration	Seat	Seat_Type	Class	Reason	Plane	Registration	Trip	Note	From_OID	To_OID	Airline_OID	Plane_OID
- -	SIN	PVG	Singapore Airlines (SQ)	Singapore Airlines	2363	5:13					772 77W 388							
			Direct	3316	3406	4435												
- -	SIN	REP	Singapore Airlines (SQ)	Singapore Airlines	832	2:09					738 320							
			Codeshare	3316	3035	4435												
- -	SIN	RGN	Singapore Airlines (SQ)	Singapore Airlines	1199	2:53					333							
			Direct	3316	3239	4435												
- -	SIN	RUH	Singapore Airlines (SQ)	Singapore Airlines	4144	8:47					333							
			Direct	3316	2082	4435												
- -	SIN	SGN	Singapore Airlines (SQ)	Singapore Airlines	678	1:51					772 333							
			Direct	3316	3205	4435												
- -	SIN	SOC	Singapore Airlines (SQ)	Singapore Airlines	769	2:02					320 319							
			Codeshare	3316	3929	4435												
- -	SIN	SRG	Singapore Airlines (SQ)	Singapore Airlines	723	1:56					319							
			Codeshare	3316	3901	4435												
- -	SIN	SUB	Singapore Airlines (SQ)	Singapore Airlines	854	2:12					333							
			Direct	3316	3928	4435												
- -	SIN	SYD	Singapore Airlines (SQ)	Singapore Airlines	3908	8:18					388 772 773							
			Direct	3316	3361	4435												
- -	SIN	SZX	Singapore Airlines (SQ)	Singapore Airlines	1610	3:43					738							
			Direct	3316	3374	4435												
- -	SIN	TPE	Singapore Airlines (SQ)	Singapore Airlines	2001	4:30					333 77W							
			Direct	3316	2276	4435												
- -	SIN	TRV	Singapore Airlines (SQ)	Singapore Airlines	1925	4:21					319 320							
			Codeshare	3316	3153	4435												
- -	SIN	UPG	Singapore Airlines (SQ)	Singapore Airlines	1161	2:49					319 320							
			Codeshare	3316	3240	4435												
- -	SIN	USM	Singapore Airlines (SQ)	Singapore Airlines	627	1:45					319							
			Codeshare	3316	3177	4435												
- -	SIN	VTZ	Singapore Airlines (SQ)	Singapore Airlines	1806	4:06					319							
			Codeshare	3316	3066	4435												
- -	SIN	WUH	Singapore Airlines (SQ)	Singapore Airlines	2139	4:46					319 320							
			Codeshare	3316	3376	4435												
- -	SIN	XMN	Singapore Airlines (SQ)	Singapore Airlines	1858	4:12					320							
			Codeshare	3316	3383	4435												
- -	SIN	ZRH	Singapore Airlines (SQ)	Singapore Airlines	6399	13:17					388							
			Direct	3316	1678	4435												
- -	SJC	LAX	Singapore Airlines (SQ)	Singapore Airlines	307	1:06					320							
			Codeshare	3748	3484	4435												
- -	SOC	SIN	Singapore Airlines (SQ)	Singapore Airlines	769	2:02					320 319							
			Codeshare	3929	3316	4435												
- -	SRG	SIN	Singapore Airlines (SQ)	Singapore Airlines	723	1:56					319							
			Codeshare	3901	3316	4435												
- -	SUB	SIN	Singapore Airlines (SQ)	Singapore Airlines	854	2:12					333							
			Direct	3928	3316	4435												
- -	SYD	SIN	Singapore Airlines (SQ)	Singapore Airlines	3908	8:18					773 388 772							
			Direct	3361	3316	4435												
